row_index,path,domain,word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score
0,papers/bio_medical/bio_medical_000.pdf,bio_medical,9799,100,17.53,2,2,0.3959
1,papers/bio_medical/bio_medical_001.pdf,bio_medical,46242,204,19.46,33,3,0.3974
2,papers/bio_medical/bio_medical_002.pdf,bio_medical,9351,75,19.48,6,0,0.3964
3,papers/bio_medical/bio_medical_003.pdf,bio_medical,11646,13,18.52,3,2,0.353
4,papers/bio_medical/bio_medical_004.pdf,bio_medical,13366,163,15.76,1,2,0.4172
5,papers/bio_medical/bio_medical_005.pdf,bio_medical,6454,26,23.13,10,0,0.4276
6,papers/bio_medical/bio_medical_006.pdf,bio_medical,11234,72,20.28,6,0,0.4215
7,papers/bio_medical/bio_medical_007.pdf,bio_medical,12522,137,14.82,3,6,0.4376
8,papers/bio_medical/bio_medical_008.pdf,bio_medical,4853,40,15.21,2,5,0.4133
9,papers/bio_medical/bio_medical_009.pdf,bio_medical,13387,21,26.51,15,1,0.4295
10,papers/bio_medical/bio_medical_010.pdf,bio_medical,7521,39,17.33,4,0,0.4009
11,papers/bio_medical/bio_medical_011.pdf,bio_medical,10615,58,20.18,7,3,0.4313
12,papers/bio_medical/bio_medical_012.pdf,bio_medical,9921,10,21.06,7,4,0.3907
13,papers/bio_medical/bio_medical_013.pdf,bio_medical,8440,93,14.76,4,0,0.4123
14,papers/bio_medical/bio_medical_014.pdf,bio_medical,8091,54,17.94,6,1,0.3645
15,papers/bio_medical/bio_medical_015.pdf,bio_medical,7901,59,18.59,7,1,0.4335
16,papers/bio_medical/bio_medical_016.pdf,bio_medical,8509,52,21.87,7,0,0.4122
17,papers/bio_medical/bio_medical_017.pdf,bio_medical,8671,106,13.0,4,2,0.4354
18,papers/bio_medical/bio_medical_018.pdf,bio_medical,16170,70,21.94,19,1,0.394
19,papers/bio_medical/bio_medical_019.pdf,bio_medical,7652,12,31.23,7,2,0.4572
20,papers/bio_medical/bio_medical_020.pdf,bio_medical,15285,168,15.74,1,2,0.4051
21,papers/bio_medical/bio_medical_021.pdf,bio_medical,10511,54,18.12,8,4,0.374
22,papers/bio_medical/bio_medical_022.pdf,bio_medical,11422,152,13.52,3,1,0.4171
23,papers/bio_medical/bio_medical_023.pdf,bio_medical,18601,257,13.31,5,0,0.4054
24,papers/bio_medical/bio_medical_024.pdf,bio_medical,11064,74,17.29,8,1,0.3832
25,papers/bio_medical/bio_medical_025.pdf,bio_medical,9326,1,25.34,6,10,0.4399
26,papers/bio_medical/bio_medical_026.pdf,bio_medical,14164,151,16.88,2,7,0.3995
27,papers/bio_medical/bio_medical_027.pdf,bio_medical,14005,15,18.0,7,0,0.4181
28,papers/bio_medical/bio_medical_028.pdf,bio_medical,9487,11,12.67,5,5,0.3793
29,papers/bio_medical/bio_medical_029.pdf,bio_medical,8737,97,25.47,4,0,0.3986
30,papers/bio_medical/bio_medical_030.pdf,bio_medical,6526,25,18.18,12,3,0.3963
31,papers/bio_medical/bio_medical_031.pdf,bio_medical,7860,9,24.26,6,1,0.3983
32,papers/bio_medical/bio_medical_032.pdf,bio_medical,14232,201,15.74,5,5,0.4418
33,papers/bio_medical/bio_medical_033.pdf,bio_medical,22221,7,11.54,4,1,0.3931
34,papers/bio_medical/bio_medical_034.pdf,bio_medical,6637,88,15.58,4,3,0.4104
35,papers/bio_medical/bio_medical_035.pdf,bio_medical,5013,42,16.02,5,1,0.4011
36,papers/bio_medical/bio_medical_036.pdf,bio_medical,7667,97,16.85,4,1,0.3987
37,papers/bio_medical/bio_medical_037.pdf,bio_medical,7830,48,16.45,8,0,0.4529
38,papers/bio_medical/bio_medical_038.pdf,bio_medical,19146,243,14.06,9,2,0.4174
39,papers/bio_medical/bio_medical_039.pdf,bio_medical,9186,71,20.55,5,6,0.4155
40,papers/bio_medical/bio_medical_040.pdf,bio_medical,10835,63,22.48,6,1,0.4183
41,papers/bio_medical/bio_medical_041.pdf,bio_medical,16614,15,31.89,3,0,0.416
42,papers/bio_medical/bio_medical_042.pdf,bio_medical,10065,96,16.5,6,2,0.3816
43,papers/bio_medical/bio_medical_043.pdf,bio_medical,6126,70,13.12,6,0,0.3874
44,papers/bio_medical/bio_medical_044.pdf,bio_medical,14134,8,22.72,9,0,0.3887
45,papers/bio_medical/bio_medical_045.pdf,bio_medical,11606,47,23.07,7,7,0.4051
46,papers/bio_medical/bio_medical_046.pdf,bio_medical,10143,95,16.2,7,0,0.378
47,papers/bio_medical/bio_medical_047.pdf,bio_medical,9329,65,21.55,3,0,0.4369
48,papers/bio_medical/bio_medical_048.pdf,bio_medical,7218,16,16.86,2,1,0.3989
49,papers/bio_medical/bio_medical_049.pdf,bio_medical,11907,118,20.6,3,0,0.4166
50,papers/bio_medical/bio_medical_050.pdf,bio_medical,12560,90,16.57,7,3,0.3745
51,papers/bio_medical/bio_medical_051.pdf,bio_medical,9077,3,13.75,5,1,0.3743
52,papers/bio_medical/bio_medical_052.pdf,bio_medical,17652,7,16.67,3,0,0.4018
53,papers/bio_medical/bio_medical_053.pdf,bio_medical,12939,87,18.51,9,1,0.3835
54,papers/bio_medical/bio_medical_054.pdf,bio_medical,10321,106,15.11,6,2,0.4098
55,papers/bio_medical/bio_medical_055.pdf,bio_medical,4920,9,24.72,3,1,0.4343
56,papers/bio_medical/bio_medical_056.pdf,bio_medical,17391,118,15.67,10,2,0.3866
57,papers/bio_medical/bio_medical_057.pdf,bio_medical,9216,20,19.04,5,2,0.3893
58,papers/bio_medical/bio_medical_058.pdf,bio_medical,14788,73,18.93,9,0,0.4237
