row_index,path,word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain
0,papers/stratifier_stress_seed42/doc_0000.pdf,4069,23,18.95,12,2,0.4582,bio_medical
1,papers/stratifier_stress_seed42/doc_0001.pdf,6613,53,17.08,5,1,0.3844,bio_medical
2,papers/stratifier_stress_seed42/doc_0002.pdf,8808,27,18.48,2,4,0.4275,bio_medical
3,papers/stratifier_stress_seed42/doc_0003.pdf,5711,89,14.98,5,6,0.4322,bio_medical
4,papers/stratifier_stress_seed42/doc_0004.pdf,3762,58,16.61,1,1,0.4496,math
5,papers/stratifier_stress_seed42/doc_0005.pdf,6077,45,18.9,6,5,0.3951,cs
6,papers/stratifier_stress_seed42/doc_0006.pdf,8098,86,15.36,9,3,0.4477,cs
7,papers/stratifier_stress_seed42/doc_0007.pdf,4633,83,17.44,12,0,0.4433,bio_medical
8,papers/stratifier_stress_seed42/doc_0008.pdf,6958,94,13.57,6,4,0.4595,math
9,papers/stratifier_stress_seed42/doc_0009.pdf,8032,19,19.12,1,5,0.4462,cs
10,papers/stratifier_stress_seed42/doc_0010.pdf,6286,32,15.64,2,3,0.3404,math
11,papers/stratifier_stress_seed42/doc_0011.pdf,5657,82,19.86,8,0,0.4445,cs
12,papers/stratifier_stress_seed42/doc_0012.pdf,7658,95,14.79,5,6,0.3594,math
13,papers/stratifier_stress_seed42/doc_0013.pdf,8406,59,17.4,1,2,0.4454,cs
14,papers/stratifier_stress_seed42/doc_0014.pdf,5473,90,21.52,1,5,0.3983,bio_medical
15,papers/stratifier_stress_seed42/doc_0015.pdf,7863,34,14.16,7,4,0.3598,math
16,papers/stratifier_stress_seed42/doc_0016.pdf,6966,45,21.36,12,5,0.4228,math
17,papers/stratifier_stress_seed42/doc_0017.pdf,8823,65,16.94,8,3,0.3545,bio_medical
18,papers/stratifier_stress_seed42/doc_0018.pdf,83378,215,22.65,33,5,0.521,physics
19,papers/stratifier_stress_seed42/doc_0019.pdf,3982,47,13.61,0,6,0.3797,math
20,papers/stratifier_stress_seed42/doc_0020.pdf,8980,80,14.93,2,5,0.4523,math
21,papers/stratifier_stress_seed42/doc_0021.pdf,5490,78,20.27,3,0,0.3516,cs
22,papers/stratifier_stress_seed42/doc_0022.pdf,6867,77,20.77,0,5,0.4184,math
23,papers/stratifier_stress_seed42/doc_0023.pdf,108386,233,20.07,42,3,0.5548,physics
24,papers/stratifier_stress_seed42/doc_0024.pdf,7175,35,16.8,4,3,0.37,bio_medical
25,papers/stratifier_stress_seed42/doc_0025.pdf,8008,30,13.46,8,6,0.3418,bio_medical
26,papers/stratifier_stress_seed42/doc_0026.pdf,5436,39,16.66,7,1,0.4438,bio_medical
27,papers/stratifier_stress_seed42/doc_0027.pdf,3517,67,15.39,12,6,0.3946,cs
28,papers/stratifier_stress_seed42/doc_0028.pdf,8052,80,14.39,4,1,0.4562,math
29,papers/stratifier_stress_seed42/doc_0029.pdf,3999,58,13.51,9,3,0.4003,math
30,papers/stratifier_stress_seed42/doc_0030.pdf,7660,28,20.66,1,4,0.3482,bio_medical
31,papers/stratifier_stress_seed42/doc_0031.pdf,8166,49,18.21,0,4,0.3498,math
32,papers/stratifier_stress_seed42/doc_0032.pdf,7782,58,21.41,3,5,0.4259,bio_medical
33,papers/stratifier_stress_seed42/doc_0033.pdf,4572,56,17.12,12,0,0.3411,math
34,papers/stratifier_stress_seed42/doc_0034.pdf,4319,27,17.84,8,2,0.3559,cs
35,papers/stratifier_stress_seed42/doc_0035.pdf,5501,65,15.56,7,6,0.4052,cs
36,papers/stratifier_stress_seed42/doc_0036.pdf,8857,85,13.07,8,2,0.4518,bio_medical
37,papers/stratifier_stress_seed42/doc_0037.pdf,4600,51,14.04,1,5,0.4064,cs
38,papers/stratifier_stress_seed42/doc_0038.pdf,5225,61,14.83,10,6,0.3717,cs
39,papers/stratifier_stress_seed42/doc_0039.pdf,3916,29,18.71,4,0,0.3404,bio_medical
40,papers/stratifier_stress_seed42/doc_0040.pdf,5645,38,19.67,8,5,0.3913,bio_medical
41,papers/stratifier_stress_seed42/doc_0041.pdf,91768,209,16.43,26,11,0.5974,physics
42,papers/stratifier_stress_seed42/doc_0042.pdf,3842,57,16.28,12,6,0.3448,cs
43,papers/stratifier_stress_seed42/doc_0043.pdf,5544,31,16.18,8,6,0.3888,math
44,papers/stratifier_stress_seed42/doc_0044.pdf,5439,38,21.79,12,1,0.4458,bio_medical
45,papers/stratifier_stress_seed42/doc_0045.pdf,6221,70,20.22,11,6,0.3698,bio_medical
46,papers/stratifier_stress_seed42/doc_0046.pdf,4385,66,20.85,7,1,0.3639,cs
47,papers/stratifier_stress_seed42/doc_0047.pdf,5364,46,13.21,3,3,0.3794,bio_medical
