row_index,path,word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain
0,sampling-project/results/sampling-results/pools/stratifier_stress_seed42/doc_0000.pdf,13971,88,15.47,11,5,0.4277,bio_medical
1,sampling-project/results/sampling-results/pools/stratifier_stress_seed42/doc_0001.pdf,6375,69,19.64,4,3,0.4566,bio_medical
2,sampling-project/results/sampling-results/pools/stratifier_stress_seed42/doc_0002.pdf,9714,86,15.98,13,3,0.437,bio_medical
3,sampling-project/results/sampling-results/pools/stratifier_stress_seed42/doc_0003.pdf,11599,49,18.65,7,8,0.4429,bio_medical
4,sampling-project/results/sampling-results/pools/stratifier_stress_seed42/doc_0004.pdf,9108,74,20.94,9,5,0.4543,bio_medical
5,sampling-project/results/sampling-results/pools/stratifier_stress_seed42/doc_0005.pdf,7876,44,19.83,14,4,0.3766,bio_medical
6,sampling-project/results/sampling-results/pools/stratifier_stress_seed42/doc_0006.pdf,10646,80,16.28,17,6,0.4585,bio_medical
7,sampling-project/results/sampling-results/pools/stratifier_stress_seed42/doc_0007.pdf,7170,73,15.84,10,6,0.4598,bio_medical
8,sampling-project/results/sampling-results/pools/stratifier_stress_seed42/doc_0008.pdf,7796,57,18.06,4,0,0.4561,bio_medical
9,sampling-project/results/sampling-results/pools/stratifier_stress_seed42/doc_0009.pdf,7310,94,18.58,14,6,0.4296,bio_medical
10,sampling-project/results/sampling-results/pools/stratifier_stress_seed42/doc_0010.pdf,8059,110,20.16,2,1,0.4382,bio_medical
11,sampling-project/results/sampling-results/pools/stratifier_stress_seed42/doc_0011.pdf,8185,83,15.67,15,2,0.4154,bio_medical
12,sampling-project/results/sampling-results/pools/stratifier_stress_seed42/doc_0012.pdf,36630,42,15.95,8,0,0.5593,cs
13,sampling-project/results/sampling-results/pools/stratifier_stress_seed42/doc_0013.pdf,11234,104,18.65,6,5,0.4463,bio_medical
14,sampling-project/results/sampling-results/pools/stratifier_stress_seed42/doc_0014.pdf,12378,107,20.51,12,7,0.3719,bio_medical
15,sampling-project/results/sampling-results/pools/stratifier_stress_seed42/doc_0015.pdf,38076,25,11.38,1,0,0.5371,cs
16,sampling-project/results/sampling-results/pools/stratifier_stress_seed42/doc_0016.pdf,12230,108,19.6,6,7,0.4647,bio_medical
17,sampling-project/results/sampling-results/pools/stratifier_stress_seed42/doc_0017.pdf,10322,94,20.79,8,4,0.4099,bio_medical
